"Package","LinkedPackage","Date"
"ArDec","stats","2009-02-08"
"ArDec","methods","2009-02-08"
"arm","methods","2009-02-08"
"arm","R (>= 2.6.0)","2009-02-08"
"arm","MASS","2009-02-08"
"arm","Matrix (>= 0.999375-10)","2009-02-08"
"arm","lme4 (>= 0.999375-16)","2009-02-08"
"arm","R2WinBUGS","2009-02-08"
"arrayImpute","RGtk2","2009-02-08"
"arrayImpute","cairoDevice","2009-02-08"
"arrayImpute","impute","2009-02-08"
"arrayImpute","matlab","2009-02-08"
"arrayImpute","quantreg","2009-02-08"
"arrayImpute","gnm","2009-02-08"
"arrayImpute","nlme","2009-02-08"
"arrayMissPattern","RGtk2","2009-02-08"
"arrayMissPattern","cairoDevice","2009-02-08"
"arrayMissPattern","spatstat","2009-02-08"
"ars","R (>= 2.4.0)","2009-02-08"
"arules","R (>= 2.7.0)","2009-02-08"
"arules","stats","2009-02-08"
"arules","methods","2009-02-08"
"arules","Matrix (>= 0.999375-9)","2009-02-08"
"arulesSequences","R (>= 2.7.0)","2009-02-08"
"arulesSequences","methods","2009-02-08"
"arulesSequences","arules (>= 0.6-6)","2009-02-08"
"aspace","R (>= 2.0.1)","2009-02-08"
"aspace","adehabitat","2009-02-08"
"aspace","ade4","2009-02-08"
"aspace","gpclib","2009-02-08"
"aspace","sp","2009-02-08"
"aspace","maptools","2009-02-08"
"assist","R (>= 1.7.0)","2009-02-08"
"assist","nlme","2009-02-08"
"aster","R (>= 2.4.1)","2009-02-08"
"aster","trust","2009-02-08"
"asuR","MASS","2009-02-08"
"asuR","lattice","2009-02-08"
"asuR","grid","2009-02-08"
"asuR","methods","2009-02-08"
"asuR","lme4","2009-02-08"
"asympTest","R (>= 1.8.0)","2009-02-08"
"asypow","R (>= 2.2.0)","2009-02-08"
"asypow","stats","2009-02-08"
"audio","R (>= 2.0.0)","2009-02-08"
"aylmer","methods","2009-02-08"
"aylmer","Brobdingnag","2009-02-08"
"aylmer","partitions","2009-02-08"
"BACCO","R (>= 2.0.0)","2009-02-08"
"BACCO","mvtnorm","2009-02-08"
"BACCO","adapt","2009-02-08"
"BACCO","stats","2009-02-08"
"backfitRichards","R (>= 2.0.0)","2009-02-08"
"backfitRichards","richards (>= 0.1)","2009-02-08"
"backtest","R (>= 2.3.0)","2009-02-08"
"backtest","methods","2009-02-08"
"backtest","grid","2009-02-08"
"backtest","lattice","2009-02-08"
"BaM","R (>= 1.4.1)","2009-02-08"
"BaM","bayesm","2009-02-08"
"BaM","coda","2009-02-08"
"BaM","MASS","2009-02-08"
"BaM","stats","2009-02-08"
"BaM","mice","2009-02-08"
"BaM","survival","2009-02-08"
"BaM","foreign","2009-02-08"
"BaM","nnet","2009-02-08"
"BARD","digest","2009-02-08"
"bayesCGH","snapCGH","2009-02-08"
"bayesCGH","methods","2009-02-08"
"bayescount","R (>= 2.6)","2009-02-08"
"bayescount","runjags (>= 0.9.2)","2009-02-08"
"bayescount","coda","2009-02-08"
"bayescount","lattice","2009-02-08"
"bayescount","stats","2009-02-08"
"bayescount","utils","2009-02-08"
"BayesDA","stats","2009-02-08"
"BayesDA","R (>= 2.2.0)","2009-02-08"
"bayesGARCH","mvtnorm","2009-02-08"
"bayesGARCH","coda","2009-02-08"
"bayesm","R (>= 2.5.1)","2009-02-08"
"bayesmix","R (>= 2.6)","2009-02-08"
"bayesmix","coda","2009-02-08"
"bayesSurv","R (>= 2.0.0)","2009-02-08"
"bayesSurv","survival","2009-02-08"
"bayesSurv","coda","2009-02-08"
"bayesSurv","smoothSurv","2009-02-08"
"BayesValidate","R (>= 2.0.1)","2009-02-08"
"BayHaz","R (>= 1.8.0)","2009-02-08"
"BayHaz","splines","2009-02-08"
"BAYSTAR","R (>= 2.5.0)","2009-02-08"
"BAYSTAR","mvtnorm","2009-02-08"
"BB","R (>= 2.6.1)","2009-02-08"
"bbmle","R (>= 2.0.0)","2009-02-08"
"bbmle","methods","2009-02-08"
"bbmle","stats","2009-02-08"
"bbmle","graphics","2009-02-08"
"BCE","R (>= 2.01)","2009-02-08"
"BCE","quadprog","2009-02-08"
"Bchron","coda","2009-02-08"
"Bchron","hdrcde","2009-02-08"
"bcp","methods","2009-02-08"
"bcp","stats","2009-02-08"
"bcp","graphics","2009-02-08"
"bear","R (>= 2.5.0)","2009-02-08"
"bear","reshape","2009-02-08"
"bear","nlme","2009-02-08"
"bear","sciplot","2009-02-08"
"bear","plotrix","2009-02-08"
"betaper","vegan","2009-02-08"
"BHH2","R (>= 2.0.0)","2009-02-08"
"biclust","MASS","2009-02-08"
"bifactorial","mvtnorm","2009-02-08"
"bifactorial","multcomp","2009-02-08"
"bifactorial","lattice","2009-02-08"
"bifactorial","graphics","2009-02-08"
"bifactorial","methods","2009-02-08"
"bigmemory","methods","2009-02-08"
"bigmemory","stats","2009-02-08"
"bigmemory","utils","2009-02-08"
"bim","stats","2009-02-08"
"bim","qtl","2009-02-08"
"bindata","adapt","2009-02-08"
"bindata","e1071","2009-02-08"
"bindata","mvtnorm","2009-02-08"
"binMto","mvtnorm","2009-02-08"
"binom","lattice","2009-02-08"
"bio.infer","R (>= 2.7.0)","2009-02-08"
"bio.infer","tcltk","2009-02-08"
"BiodiversityR","R (>= 2.7.0)","2009-02-08"
"BiodiversityR","vegan (>= 1.8-6)","2009-02-08"
"BioIDMapper","R (>= 2.2.0)","2009-02-08"
"BioIDMapper","RCurl","2009-02-08"
"BioIDMapper","XML","2009-02-08"
"biOpsGUI","R (>= 2.4.0)","2009-02-08"
"biOpsGUI","RGtk2","2009-02-08"
"biOpsGUI","biOps","2009-02-08"
"bipartite","MASS","2009-02-08"
"bipartite","vegan","2009-02-08"
"bipartite","sna","2009-02-08"
"BiplotGUI","R (>= 2.7.0)","2009-02-08"
"BiplotGUI","MASS","2009-02-08"
"BiplotGUI","tcltk","2009-02-08"
"BiplotGUI","tcltk2 (>= 1.0-7)","2009-02-08"
"BiplotGUI","tkrplot (>=,"2009-02-08"
0.0-18)","2009-02-08"
"birch","ellipse","2009-02-08"
"bise","R (>= 1.9)","2009-02-08"
"bivpois","R (>= 2.0.1)","2009-02-08"
"BLCOP","methods","2009-02-08"
"BLCOP","RUnit","2009-02-08"
"BLCOP","MASS","2009-02-08"
"BLCOP","quadprog","2009-02-08"
"BLCOP","corpcor","2009-02-08"
"BLCOP","sn","2009-02-08"
"blighty","utils","2009-02-08"
"blockTools","MASS","2009-02-08"
"blockTools","gtools","2009-02-08"
"blockTools","xtable","2009-02-08"
"BMA","survival","2009-02-08"
"BMA","leaps","2009-02-08"
"bmd","R (>= 2.6.0)","2009-02-08"
"bmd","drc","2009-02-08"
"bnlearn","R (>= 2.8.0)","2009-02-08"
"bnlearn","utils","2009-02-08"
"boa","R (>= 1.7)","2009-02-08"
"boolean","R (>= 2.0.1)","2009-02-08"
"boot","R (>= 2.5.0)","2009-02-08"
"boot","graphics","2009-02-08"
"boot","stats","2009-02-08"
"BootPR","zoo","2009-02-08"
"BootPR","combinat","2009-02-08"
"bootspecdens","MASS","2009-02-08"
"bootStepAIC","R(>= 2.3.0)","2009-02-08"
"bootStepAIC","MASS","2009-02-08"
"bootstrap","stats","2009-02-08"
"bootstrap","R (>= 2.1.0)","2009-02-08"
"bpca","R (>= 2.6.0)","2009-02-08"
"bpca","scatterplot3d","2009-02-08"
"bpca","rgl","2009-02-08"
"bpca","MASS","2009-02-08"
"BPHO","R (>= 2.5.1)","2009-02-08"
"bqtl","R (>= 2.6.0)","2009-02-08"
"BradleyTerry","R (>= 1.8.0)","2009-02-08"
"brainwaver","R (>= 1.5.0)","2009-02-08"
"brainwaver","waveslim","2009-02-08"
"brglm","R (>= 2.6.0)","2009-02-08"
"brglm","profileModel","2009-02-08"
"Brobdingnag","R (>= 2.5.0)","2009-02-08"
"Brobdingnag","methods","2009-02-08"
"Brobdingnag","graphics","2009-02-08"
"bs","R (>= 1.8.0)","2009-02-08"
"bs","nlme","2009-02-08"
"bs","methods","2009-02-08"
"BSagri","R (>= 2.7.0)","2009-02-08"
"BSagri","mvtnorm","2009-02-08"
"BSagri","multcomp","2009-02-08"
"BSagri","gamlss","2009-02-08"
"BSagri","mratios","2009-02-08"
"BSagri","MCPAN","2009-02-08"
"BSagri","pairwiseCI","2009-02-08"
"BSagri","lattice","2009-02-08"
"BSagri","geepack","2009-02-08"
"BSagri","boot","2009-02-08"
"BSDA","e1071","2009-02-08"
"BsMD","R(>= 1.9.0)","2009-02-08"
"ca","R (>= 2.0.0)","2009-02-08"
"ca","rgl (>= 0.64-10)","2009-02-08"
"CADFtest","dynlm","2009-02-08"
"CADFtest","fUnitRoots","2009-02-08"
"CADFtest","sandwich","2009-02-08"
"CADStat","JGR","2009-02-08"
"CADStat","XML","2009-02-08"
"CADStat","lattice","2009-02-08"
"CADStat","bio.infer","2009-02-08"
"CADStat","gdata","2009-02-08"
"CADStat","gmodels","2009-02-08"
"CADStat","car","2009-02-08"
"CADStat","MASS","2009-02-08"
"CADStat","quantreg","2009-02-08"
"CADStat","rpart","2009-02-08"
"CADStat","rJava","2009-02-08"
"Cairo","R (>= 2.4.0)","2009-02-08"
"cairoDevice","R (>= 2.7.0)","2009-02-08"
"calib","R (>= 2.7.0)","2009-02-08"
"calib","stats","2009-02-08"
"calib","nlme","2009-02-08"
"calib","methods","2009-02-08"
"calibrate","R (>= 1.8.0)","2009-02-08"
"caMassClass","R (>= 2.0.0)","2009-02-08"
"caMassClass","PROcess","2009-02-08"
"caMassClass","e1071","2009-02-08"
"caMassClass","nnet","2009-02-08"
"caMassClass","rpart","2009-02-08"
"caMassClass","caTools","2009-02-08"
"caMassClass","XML","2009-02-08"
"caMassClass","digest","2009-02-08"
"caMassClass","MASS","2009-02-08"
"candisc","car","2009-02-08"
"candisc","heplots (>= 0.8-3)","2009-02-08"
"candisc","graphics","2009-02-08"
"candisc","stats","2009-02-08"
"car","R (>= 2.1.1)","2009-02-08"
"car","stats","2009-02-08"
"car","graphics","2009-02-08"
"CarbonEL","R (>= 2.0.0)","2009-02-08"
"CarbonEL","grDevices","2009-02-08"
"caret","R (>= 2.5.1)","2009-02-08"
"caret","lattice","2009-02-08"
"caTools","R (>= 2.2.0)","2009-02-08"
"caTools","bitops","2009-02-08"
"cba","R (>= 2.4.1)","2009-02-08"
"cba","grid","2009-02-08"
"cba","proxy","2009-02-08"
"CCA","fda","2009-02-08"
"CCA","fields","2009-02-08"
"ccgarch","R (>= 2.6.1)","2009-02-08"
"cclust","stats","2009-02-08"
"CDNmoney","R (>= 2.5.0)","2009-02-08"
"CellularAutomaton","R.oo","2009-02-08"
"celsius","Biobase","2009-02-08"
"celsius","methods","2009-02-08"
"cem","R (>= 2.6.0)","2009-02-08"
"cem","nlme","2009-02-08"
"cem","lattice","2009-02-08"
"cem","randomForest","2009-02-08"
"cfa","R (>= 2.00)","2009-02-08"
"cggd","R (>= 2.4.0)","2009-02-08"
"cggd","grDevices","2009-02-08"
"cggd","graphics","2009-02-08"
"cggd","stats","2009-02-08"
"cggd","utils","2009-02-08"
"cgh","R (>= 2.6.0)","2009-02-08"
"ChainLadder","Hmisc","2009-02-08"
"ChainLadder","lattice","2009-02-08"
"ChainLadder","stats","2009-02-08"
"changeLOS","R (>= 1.8.1)","2009-02-08"
"changeLOS","survival","2009-02-08"
"chemometrics","class","2009-02-08"
"chemometrics","e1071","2009-02-08"
"chemometrics","lars","2009-02-08"
"chemometrics","MASS","2009-02-08"
"chemometrics","mclust","2009-02-08"
"chemometrics","nnet","2009-02-08"
"chemometrics","pcaPP","2009-02-08"
"chemometrics","pls","2009-02-08"
"chemometrics","rpart","2009-02-08"
"chemometrics","robustbase","2009-02-08"
"chemometrics","som","2009-02-08"
"choplump","R (>= 2.5.0)","2009-02-08"
"choplump","stats","2009-02-08"
"chplot","ellipse","2009-02-08"
"chplot","KernSmooth","2009-02-08"
"chplot","lattice","2009-02-08"
"chron","R (>= 2.4.0)","2009-02-08"
"CircStats","MASS","2009-02-08"
"CircStats","boot","2009-02-08"
"circular","boot","2009-02-08"
"classGraph","methods","2009-02-08"
"classGraph","graph","2009-02-08"
"classGraph","Rgraphviz","2009-02-08"
"classifly","rggobi","2009-02-08"
"classifly","rpart","2009-02-08"
"classifly","MASS","2009-02-08"
"classifly","nnet","2009-02-08"
"classifly","class","2009-02-08"
"classifly","e1071","2009-02-08"
"classifly","reshape","2009-02-08"
"classInt","R (>= 2.2)","2009-02-08"
"classInt","grDevices","2009-02-08"
"classInt","stats","2009-02-08"
"classInt","class","2009-02-08"
"classInt","e1071","2009-02-08"
"clim.pact","ncdf","2009-02-08"
"clim.pact","akima","2009-02-08"
"clim.pact","R (>= 2.8.0)","2009-02-08"
"climatol","R (>= 1.8.0)","2009-02-08"
"clinfun","R (>= 2.0.0)","2009-02-08"
"clinfun","graphics","2009-02-08"
"clinfun","stats","2009-02-08"
"clue","R (>= 2.7.0)","2009-02-08"
"cluster","R (>= 2.5.0)","2009-02-08"
"cluster","stats","2009-02-08"
"cluster","graphics","2009-02-08"
"cluster","utils","2009-02-08"
"clusterfly","rggobi","2009-02-08"
"clusterfly","ggplot2","2009-02-08"
"clusterfly","e1071","2009-02-08"
"clusterfly","cluster","2009-02-08"
"clusterGeneration","R (>= 2.8.1)","2009-02-08"
"clusterGeneration","MASS","2009-02-08"
"clusterRepro","R (>= 2.2.0)","2009-02-08"
"clusterSim","ade4","2009-02-08"
"clusterSim","cluster","2009-02-08"
"clusterSim","R2HTML","2009-02-08"
"clusterSim","e1071","2009-02-08"
"clusterSim","rgl","2009-02-08"
"clusterSim","MASS","2009-02-08"
"clustTool","R (>= 2.2.0)","2009-02-08"
"clustTool","mvoutlier","2009-02-08"
"clustTool","cluster","2009-02-08"
"clustTool","randomForest","2009-02-08"
"clustTool","tcltk","2009-02-08"
"clustTool","e1071","2009-02-08"
"clustTool","rpart","2009-02-08"
"clustTool","class","2009-02-08"
"clustTool","grid","2009-02-08"
"clustTool","mclust02","2009-02-08"
"clustTool","fpc","2009-02-08"
"clustTool","flexclust","2009-02-08"
"clustTool","vegan","2009-02-08"
"clustTool","clue","2009-02-08"
"clustTool","mvpart","2009-02-08"
"clustTool","lattice","2009-02-08"
"clustTool","kernlab","2009-02-08"
"clustTool","compositions","2009-02-08"
"clustvarsel","mclust02","2009-02-08"
"clv","cluster","2009-02-08"
"clv","class","2009-02-08"
"clValid","R (>= 2.0)","2009-02-08"
"clValid","methods","2009-02-08"
"clValid","cluster","2009-02-08"
"clValid","kohonen","2009-02-08"
"clValid","class","2009-02-08"
"clValid","mclust","2009-02-08"
"cmprsk","R (>= 2.6.0)","2009-02-08"
"cmprsk","survival","2009-02-08"
"cobs","R (>= 2.4.1)","2009-02-08"
"cobs","SparseM","2009-02-08"
"cobs","quantreg","2009-02-08"
"cobs","splines","2009-02-08"
"cobs","grDevices","2009-02-08"
"cobs","graphics","2009-02-08"
"cobs","stats","2009-02-08"
"cobs","utils","2009-02-08"
"cobs99","R (>= 2.0.1)","2009-02-08"
"CoCo","R (>= 2.0.0)","2009-02-08"
"CoCo","dynamicGraph (>= 0.2.0)","2009-02-08"
"cocorresp","stats","2009-02-08"
"cocorresp","graphics","2009-02-08"
"cocorresp","vegan","2009-02-08"
"coda","R (>= 2.5.0)","2009-02-08"
"coda","lattice","2009-02-08"
"codetools","R (>= 2.1)","2009-02-08"
"coin","R (>= 2.2.0)","2009-02-08"
"coin","methods","2009-02-08"
"coin","survival","2009-02-08"
"coin","mvtnorm (>= 0.8-0)","2009-02-08"
"coin","modeltools (>= 0.2-9)","2009-02-08"
"colorspace","R (>= 2.0.0)","2009-02-08"
"colorspace","methods","2009-02-08"
"combinat","R","2009-02-08"
"CombMSC","R(>= 2.4.0)","2009-02-08"
"compoisson","stats","2009-02-08"
"compoisson","MASS","2009-02-08"
"compositions","R (>= 2.2.0)","2009-02-08"
"compositions","rgl","2009-02-08"
"compositions","tensorA","2009-02-08"
"concor","R (>= 0.99)","2009-02-08"
"Containers","R.oo","2009-02-08"
"Containers","rJava","2009-02-08"
"contrast","R (>= 2.2.1)","2009-02-08"
"contrast","Design","2009-02-08"
"ConvergenceConcepts","R (>= 2.5.0)","2009-02-08"
"ConvergenceConcepts","tkrplot","2009-02-08"
"ConvergenceConcepts","lattice","2009-02-08"
"convexHaz","R (>= 2.4)","2009-02-08"
"copas","meta (>= 0.8)","2009-02-08"
"copula","methods","2009-02-08"
"copula","mvtnorm","2009-02-08"
"copula","scatterplot3d","2009-02-08"
"copula","sn","2009-02-08"
"copula","adapt","2009-02-08"
"copula","pspline","2009-02-08"
"corpcor","R (>= 2.7.0)","2009-02-08"
"corpora","R (>= 2.0.0)","2009-02-08"
"coxphf","R (>= 2.3.1)","2009-02-08"
"coxphf","survival","2009-02-08"
"coxphw","R (>= 2.4.0)","2009-02-08"
"coxphw","survival","2009-02-08"
"coxrobust","R (>= 2.0.0)","2009-02-08"
"coxrobust","survival","2009-02-08"
"COZIGAM","R (>= 2.7.1)","2009-02-08"
"COZIGAM","mgcv","2009-02-08"
"CPE","R (>= 2.0.0)","2009-02-08"
"cramer","R (>= 0.65)","2009-02-08"
"cramer","boot","2009-02-08"
"crawl","R (>= 2.4.0)","2009-02-08"
"CreditMetrics","R (>= 2.2.0)","2009-02-08"
"crossdes","AlgDesign","2009-02-08"
"crossdes","gtools","2009-02-08"
"crossdes","MASS","2009-02-08"
"crosshybDetector","marray","2009-02-08"
"crosshybDetector","methods","2009-02-08"
"crq","R (>= 1.9)","2009-02-08"
"CTFS","R (>= 2.0.0)","2009-02-08"
"CTFS","graphics","2009-02-08"
"CTFS","stats","2009-02-08"
"CTFS","survival","2009-02-08"
"CTFS","splines","2009-02-08"
"ctv","R (>= 2.1.0)","2009-02-08"
"ctv","utils","2009-02-08"
"curvetest","locfit","2009-02-08"
"CVThresh","R (>= 2.1)","2009-02-08"
"CVThresh","wavethresh (>= 2.2-10)","2009-02-08"
"CVThresh","EbayesThresh (>= 1.3.0)","2009-02-08"
"cwhmisc","R (>= 2.0)","2009-02-08"
"cwhmisc","lattice","2009-02-08"
"cyclones","ncdf","2009-02-08"
"cyclones","akima","2009-02-08"
"cyclones","clim.pact","2009-02-08"
"cyclones","R (>= 2.3.1)","2009-02-08"
"DAAG","R (>= 2.0.1)","2009-02-08"
"DAAG","MASS","2009-02-08"
"DAAGbio","R (>= 2.4.0)","2009-02-08"
"DAAGbio","limma (>= 2.9.15)","2009-02-08"
"DAAGxtras","R (>= 2.4.0)","2009-02-08"
"data.table","R (>= 2.4.0)","2009-02-08"
"data.table","ref","2009-02-08"
"dataframes2xls","R (>= 2.0.0)","2009-02-08"
"date","graphics","2009-02-08"
"DBI","R (>= 2.3.0)","2009-02-08"
"DBI","methods","2009-02-08"
"DCluster","R (>= 1.6.2)","2009-02-08"
"DCluster","boot","2009-02-08"
"DCluster","spdep","2009-02-08"
"ddesolve","R (>= 2.4.1)","2009-02-08"
"ddst","R (>= 2.1.0)","2009-02-08"
"ddst","orthopolynom","2009-02-08"
"ddst","evd","2009-02-08"
"deal","R (>= 2.0.0)","2009-02-08"
"debug","R (>= 2.7)","2009-02-08"
"debug","mvbutils","2009-02-08"
"debug","tcltk","2009-02-08"
"deldir","R (>= 0.99)","2009-02-08"
"delt","denpro (>= 0.8.2)","2009-02-08"
"DEoptim","R (>= 2.2.0)","2009-02-08"
"Depela","stats","2009-02-08"
"Depela","stats4","2009-02-08"
"Depela","copula","2009-02-08"
"Depela","R (>= 2.8.0)","2009-02-08"
"depmix","R (>= 2.6.0)","2009-02-08"
"depmix","MASS","2009-02-08"
"depmixS4","R (>= 2.6.0)","2009-02-08"
"depmixS4","nnet","2009-02-08"
"depmixS4","methods","2009-02-08"
"depmixS4","MASS","2009-02-08"
"depth","R (>= 2.4.0)","2009-02-08"
"depth","grDevices","2009-02-08"
"depth","rgl","2009-02-08"
"DescribeDisplay","R (>= 2.2.0)","2009-02-08"
"DescribeDisplay","grid","2009-02-08"
"DescribeDisplay","reshape (>= 0.7.1)","2009-02-08"
"DescribeDisplay","ggplot","2009-02-08"
"Design","Hmisc (>= 3.4-0)","2009-02-08"
"Design","survival","2009-02-08"
"desirability","lattice","2009-02-08"
"deSolve","R (>= 2.01)","2009-02-08"
"Devore5","R(>= 1.5.0)","2009-02-08"
"Devore6","R(>= 2.2.0)","2009-02-08"
"Devore7","R(>= 2.4.0)","2009-02-08"
"dfcrm","R (>= 1.3.0)","2009-02-08"
"dglm","R (>= 1.0)","2009-02-08"
"dglm","statmod(>= 1.0.8)","2009-02-08"
"DiagnosisMed","R (>= 2.7.2)","2009-02-08"
"DiagnosisMed","epitools","2009-02-08"
"DiagnosisMed","epicalc","2009-02-08"
"DiagnosisMed","TeachingDemos","2009-02-08"
"DiagnosisMed","tcltk","2009-02-08"
"diagram","R (>= 2.01)","2009-02-08"
"diagram","shape","2009-02-08"
"dice","R (>= 2.0.0)","2009-02-08"
"dice","gtools","2009-02-08"
"DICOM","R (>= 2.0.0)","2009-02-08"
"DierckxSpline","R (>= 2.4.0)","2009-02-08"
"DierckxSpline","stats","2009-02-08"
"DierckxSpline","lattice","2009-02-08"
"DierckxSpline","PolynomF","2009-02-08"
"digest","R (>= 2.4.1)","2009-02-08"
"dispmod","R (>= 1.6.0)","2009-02-08"
"distr","R(>= 2.2.0)","2009-02-08"
"distr","methods","2009-02-08"
"distr","graphics","2009-02-08"
"distr","startupmsg","2009-02-08"
"distr","sfsmisc","2009-02-08"
"distr","SweaveListingUtils","2009-02-08"
"distrDoc","R(>= 2.6.0)","2009-02-08"
"distrDoc","tools","2009-02-08"
"distrDoc","distr(>= 2.0.0)","2009-02-08"
"distrDoc","startupmsg","2009-02-08"
"distrEx","R(>= 2.6.0)","2009-02-08"
"distrEx","methods","2009-02-08"
"distrEx","distr(>= 2.0)","2009-02-08"
"distrEx","evd","2009-02-08"
"distrEx","startupmsg","2009-02-08"
"distributions","R","2009-02-08"
"distributions","stats","2009-02-08"
"distributions","utils","2009-02-08"
"distributions","tools","2009-02-08"
"distrMod","R(>= 2.6.0)","2009-02-08"
"distrMod","methods","2009-02-08"
"distrMod","startupmsg","2009-02-08"
"distrMod","distr(>= 2.0)","2009-02-08"
"distrMod","distrEx(>=,"2009-02-08"
2.0)","2009-02-08"
"distrMod","RandVar(>= 0.6.3)","2009-02-08"
"distrMod","MASS","2009-02-08"
"distrMod","stats4","2009-02-08"
"distrSim","R(>= 2.6.0)","2009-02-08"
"distrSim","methods","2009-02-08"
"distrSim","graphics","2009-02-08"
"distrSim","setRNG(>= 2006.2-1)","2009-02-08"
"distrSim","distr(>=,"2009-02-08"
2.0)","2009-02-08"
"distrSim","startupmsg","2009-02-08"
"distrTeach","R(>= 2.2.0)","2009-02-08"
"distrTeach","methods","2009-02-08"
"distrTeach","distr(>= 2.0)","2009-02-08"
"distrTeach","distrEx(>= 2.0)","2009-02-08"
"distrTeach","startupmsg","2009-02-08"
"distrTEst","R(>= 2.6.0)","2009-02-08"
"distrTEst","methods","2009-02-08"
"distrTEst","graphics","2009-02-08"
"distrTEst","setRNG(>= 2006.2-1)","2009-02-08"
"distrTEst","distr(>=,"2009-02-08"
2.0)","2009-02-08"
"distrTEst","distrSim(>= 2.0)","2009-02-08"
"distrTEst","startupmsg","2009-02-08"
"divagis","rgdal","2009-02-08"
"divagis","sp","2009-02-08"
"diveMove","R (>= 2.4.0)","2009-02-08"
"diveMove","methods","2009-02-08"
"diveMove","stats4","2009-02-08"
"dlmap","qtl","2009-02-08"
"dlmap","ibdreg","2009-02-08"
"dprep","MASS","2009-02-08"
"dprep","nnet","2009-02-08"
"dprep","lattice","2009-02-08"
"dprep","class","2009-02-08"
"dr","MASS","2009-02-08"
"drc","R (>= 2.0.0)","2009-02-08"
"drc","alr3","2009-02-08"
"drc","lattice","2009-02-08"
"drc","MASS","2009-02-08"
"drc","nlme","2009-02-08"
"drc","plotrix","2009-02-08"
"drfit","R (>= 2.1.0)","2009-02-08"
"drfit","stats","2009-02-08"
"drfit","MASS","2009-02-08"
"drfit","RODBC","2009-02-08"
"drm","R(>= 1.0)","2009-02-08"
"dse","R (>= 2.5.0)","2009-02-08"
"dse","setRNG (>= 2004.4-1)","2009-02-08"
"dse","tframe (>= 2007.5-3)","2009-02-08"
"dti","R (>= 2.5.0)","2009-02-08"
"dti","methods","2009-02-08"
"dti","adimpro","2009-02-08"
"dti","fmri","2009-02-08"
